,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Hf,Mn,W,Si,Cu,Moeq,Bo,Md,fliter,YS,E,condition_type
163,0.7872263886007214,0.0,0.0,0.1871974760749942,0.01953417989186355,0.0,0.006041955432420849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,2.8395896447350495,2.432979707287642,True,220.0,45.0,0
173,0.9363047521380563,0.0,0.0,0.0,0.0,0.0,0.06369524786194372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.8073888026663107,2.4160441095390954,True,550.0,90.0,0
177,0.8993082804272048,0.0,0.02301875493783675,0.033903024031535424,0.0,0.0,0.043769940603423034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.819238779672079,2.436158172968738,True,899.0,72.0,0
178,0.9116437894527631,0.0,0.017084184170572052,0.027958144374892628,0.0,0.0,0.043313882001772164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89,2.8155206749128148,2.4336264137175845,True,947.0,69.0,0
179,0.911455848748114,0.0,0.028467770276635877,0.01677142838384495,0.0,0.0,0.04330495259140522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,2.815431083429946,2.439431854312471,True,483.0,52.0,0
180,0.8731196704668651,0.0,0.0,0.12688032953313486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,2.8292060218257387,2.444081752420738,True,405.0,73.0,0
181,0.8667880942072357,0.0,0.0,0.12759608238563017,0.0,0.0,0.005615823407134093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16,2.830960309247307,2.4413359999292634,True,452.0,87.0,0
182,0.866535987353553,0.0,0.005905041807557552,0.12755897083888942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,2.831163614364254,2.446941899030986,True,370.0,68.0,0
183,0.8690806951433216,0.0,0.0,0.1279335661372797,0.0,0.002985738719398568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,2.830588423443086,2.4443083300312716,True,401.0,72.0,0
184,0.8677223788142553,0.0,0.0,0.1277336143343101,0.004544006851434519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,2.827165875355624,2.442485356492863,True,503.0,65.0,0
185,0.8551831250528318,0.0,0.0,0.12588776565838863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018929109288779604,0.0,2.16,2.824564553561312,2.439429091395529,True,540.0,69.0,0
186,0.8633063840012554,0.009610060936983066,0.0,0.1270835550617616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,2.827933020043844,2.429873408168719,True,600.0,79.0,0
187,0.8600663803049674,0.0,0.0,0.13993361969503257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.720000000000001,2.833239488485765,2.4437815267470144,True,300.0,60.0,0
188,0.8467234659501113,0.0,0.0,0.15327653404988875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.280000000000001,2.8373624490214158,2.443474639716853,True,290.0,50.0,0
189,0.846539432659316,0.0,0.012005287555640726,0.14145527978504333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.380000000000001,2.837263246570048,2.449593103604541,True,249.0,59.0,0
191,0.8502635951326635,0.0,0.012009415336562631,0.13560791987191115,0.0,0.002119069658862802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.275,2.8362077848392806,2.449907604963197,True,280.0,55.0,0
192,0.8355353684471785,0.0,0.03757899376241317,0.055347977423132716,0.0,0.037890511384291385,0.0,0.0,0.03364714898298436,0.0,0.0,0.0,0.0,0.0,0.0,6.51,2.8321438554422067,2.447863658772628,True,849.0,71.2,0
194,0.9363047521380563,0.0,0.0,0.0,0.0,0.0,0.06369524786194372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.8073888026663107,2.4160441095390954,True,480.0,84.0,0
205,0.8408400623796626,0.0,0.012087810125047393,0.14242762243738705,0.0046445050579029725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050000000000001,2.8352333630658095,2.4479992849597463,True,499.0,75.0,0
206,0.8071934565892223,0.0,0.018686031339738524,0.146781867516527,0.009572990329016413,0.0,0.017765654225495645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,2.840883179845918,2.440768178711813,True,534.0,72.0,0
208,0.9185996234386603,0.0,0.0,0.016704021461972956,0.0,0.0,0.06469635509936672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84,2.812823647573877,2.4151733789280825,True,449.0,105.0,0
212,0.8467234659501113,0.0,0.0,0.15327653404988875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.280000000000001,2.8373624490214158,2.443474639716853,True,447.0,75.0,1
213,0.8333964108097354,0.0,0.0,0.15505469624943038,0.0,0.0,0.011548892940834232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.280000000000001,2.841064748913922,2.437820980017018,True,535.0,67.0,1
